"id_pedido","id_produto","qtd","preco_unit","desconto"
1,12,3,491.65,34.42
2,9,8,247.20,4.94
3,19,7,798.36,39.92
3,11,7,528.31,42.26
3,2,2,229.05,18.32
3,7,2,439.56,4.40
4,9,8,247.20,9.89
4,15,1,252.50,25.25
5,15,4,252.50,12.63
5,7,4,439.56,17.58
5,5,4,105.06,2.10
6,18,3,817.73,24.53
7,19,6,798.36,39.92
7,12,7,491.65,14.75
8,4,7,664.36,46.51
8,12,9,491.65,19.67
8,18,7,817.73,16.35
9,14,2,193.47,3.87
9,11,1,528.31,47.55
10,11,7,528.31,10.57
11,2,10,229.05,4.58
11,3,4,959.40,19.19
11,2,1,229.05,22.91
12,9,4,247.20,17.30
12,13,7,236.78,4.74
13,14,10,193.47,15.48
14,12,1,491.65,44.25
14,16,4,872.56,78.53
15,17,9,835.98,33.44
15,13,10,236.78,11.84
16,6,9,345.27,34.53
17,8,6,267.22,21.38
18,9,6,247.20,17.30
19,17,7,835.98,0.00
20,9,2,247.20,9.89
21,18,7,817.73,32.71
22,14,4,193.47,11.61
22,16,9,872.56,61.08
23,1,10,190.94,7.64
23,8,3,267.22,0.00
24,13,10,236.78,11.84
24,20,3,904.09,0.00
24,2,5,229.05,2.29
25,20,1,904.09,81.37
26,3,4,959.40,38.38
27,6,9,345.27,31.07
28,19,4,798.36,79.84
29,2,10,229.05,11.45
30,5,6,105.06,7.35
31,15,1,252.50,2.53
31,1,8,190.94,5.73
32,5,9,105.06,1.05
33,8,10,267.22,8.02
34,6,1,345.27,20.72
35,3,2,959.40,57.56
36,15,3,252.50,22.72
36,18,8,817.73,65.42
37,13,1,236.78,16.57
37,6,3,345.27,0.00
38,20,8,904.09,0.00
38,17,4,835.98,25.08
39,8,3,267.22,2.67
39,13,1,236.78,4.74
39,10,4,820.94,82.09
40,9,2,247.20,2.47
40,5,5,105.06,1.05
41,9,7,247.20,0.00
42,1,9,190.94,11.46
43,5,8,105.06,7.35
44,20,6,904.09,63.29
45,5,9,105.06,3.15
46,20,10,904.09,81.37
46,4,5,664.36,39.86
47,19,3,798.36,23.95
48,12,7,491.65,4.92
48,11,10,528.31,21.13
48,20,7,904.09,36.16
49,11,2,528.31,15.85
49,15,4,252.50,0.00
49,14,7,193.47,7.74
49,12,1,491.65,19.67
50,5,5,105.06,0.00
50,7,1,439.56,35.16
50,18,5,817.73,24.53
50,2,7,229.05,0.00
51,6,2,345.27,10.36
52,14,5,193.47,19.35
53,12,1,491.65,4.92
54,10,10,820.94,41.05
55,15,6,252.50,25.25
56,12,8,491.65,0.00
56,7,3,439.56,4.40
57,16,1,872.56,78.53
57,18,6,817.73,65.42
57,17,3,835.98,16.72
57,17,1,835.98,83.60
58,19,1,798.36,39.92
58,3,9,959.40,57.56
58,16,3,872.56,52.35
59,20,7,904.09,63.29
59,9,4,247.20,7.42
60,2,3,229.05,20.61
61,8,10,267.22,21.38
61,17,5,835.98,8.36
62,2,8,229.05,22.91
62,8,3,267.22,16.03
63,3,10,959.40,86.35
64,10,9,820.94,8.21
65,10,5,820.94,16.42
65,4,2,664.36,59.79
66,17,10,835.98,25.08
67,18,1,817.73,49.06
67,6,8,345.27,20.72
68,10,6,820.94,8.21
68,1,2,190.94,0.00
68,1,8,190.94,11.46
69,7,1,439.56,39.56
69,1,3,190.94,13.37
69,19,2,798.36,7.98
69,9,5,247.20,24.72
70,2,2,229.05,18.32
71,7,10,439.56,8.79
72,4,3,664.36,53.15
72,15,10,252.50,5.05
72,4,3,664.36,33.22
73,2,10,229.05,13.74
74,17,2,835.98,83.60
74,12,8,491.65,24.58
74,2,2,229.05,22.91
75,8,8,267.22,10.69
76,6,4,345.27,17.26
76,2,4,229.05,0.00
77,19,1,798.36,23.95
77,18,9,817.73,8.18
78,20,9,904.09,9.04
79,18,3,817.73,57.24
79,18,1,817.73,57.24
79,11,6,528.31,42.26
80,13,8,236.78,7.10
