"id_pedido","dt_pedido","id_cliente","id_loja"
1,2022-07-05,56,1
2,2022-07-14,53,1
3,2022-06-20,11,1
4,2022-07-07,32,2
5,2022-06-28,65,2
6,2022-07-18,9,2
7,2022-07-13,33,2
8,2022-07-17,62,2
9,2022-06-28,91,2
10,2022-07-05,77,2
11,2022-06-23,77,1
12,2022-07-01,7,2
13,2022-07-03,43,2
14,2022-07-02,27,2
15,2022-07-17,34,2
16,2022-06-24,66,1
17,2022-07-09,88,2
18,2022-07-05,28,2
19,2022-07-18,15,2
20,2022-07-01,96,1
21,2022-07-06,70,3
22,2022-06-30,24,1
23,2022-07-05,41,3
24,2022-06-26,15,3
25,2022-07-14,26,2
26,2022-07-06,49,2
27,2022-07-11,67,3
28,2022-06-19,39,2
29,2022-06-22,66,2
30,2022-07-19,87,3
31,2022-07-18,11,1
32,2022-07-01,13,3
33,2022-06-24,49,3
34,2022-07-14,68,2
35,2022-07-08,83,2
36,2022-07-04,97,3
37,2022-07-09,25,2
38,2022-07-15,44,3
39,2022-07-19,48,2
40,2022-06-28,98,1
41,2022-06-27,99,1
42,2022-07-17,97,2
43,2022-07-08,41,3
44,2022-06-20,58,2
45,2022-07-09,91,3
46,2022-07-15,8,3
47,2022-07-02,67,1
48,2022-07-01,7,2
49,2022-07-16,76,2
50,2022-07-01,41,3
51,2022-06-30,93,2
52,2022-07-19,84,1
53,2022-07-16,90,2
54,2022-07-04,89,1
55,2022-07-08,39,1
56,2022-07-10,74,3
57,2022-07-17,5,3
58,2022-06-22,89,1
59,2022-06-29,22,2
60,2022-07-02,100,3
61,2022-07-18,71,2
62,2022-06-19,89,2
63,2022-07-16,20,1
64,2022-07-01,3,3
65,2022-06-20,6,1
66,2022-06-25,15,3
67,2022-06-30,4,2
68,2022-07-07,90,3
69,2022-06-21,67,2
70,2022-07-12,52,3
71,2022-06-29,38,2
72,2022-07-18,63,1
73,2022-07-10,34,2
74,2022-07-08,4,2
75,2022-07-11,82,3
76,2022-06-21,7,3
77,2022-07-04,25,2
78,2022-06-20,50,3
79,2022-07-13,39,3
80,2022-07-12,55,3
81,2022-06-19,59,3
82,2022-06-24,58,3
83,2022-07-15,88,1
84,2022-07-19,86,3
85,2022-07-06,71,1
86,2022-07-13,5,3
87,2022-07-04,75,2
88,2022-07-10,62,1
89,2022-07-17,98,3
90,2022-07-10,78,3
91,2022-06-26,94,2
92,2022-07-16,68,1
93,2022-06-26,26,1
94,2022-06-26,92,1
95,2022-07-14,83,2
96,2022-07-03,98,1
97,2022-06-25,63,3
98,2022-07-18,66,2
99,2022-07-12,22,2
100,2022-07-03,86,1
101,2022-06-28,90,2
102,2022-07-14,51,2
103,2022-07-17,85,2
104,2022-07-12,59,2
105,2022-07-10,47,3
106,2022-07-19,13,2
107,2022-07-19,76,2
108,2022-07-04,35,2
109,2022-07-12,66,3
110,2022-07-02,23,3
111,2022-07-08,70,1
112,2022-06-22,17,1
113,2022-06-19,60,1
114,2022-06-27,31,1
115,2022-07-04,48,2
116,2022-07-14,18,3
117,2022-07-04,21,1
118,2022-07-19,24,1
119,2022-06-26,80,2
120,2022-07-04,89,1
121,2022-07-01,74,3
122,2022-06-26,38,3
123,2022-06-26,28,2
124,2022-07-01,6,2
125,2022-07-14,27,3
126,2022-07-03,87,3
127,2022-06-27,39,2
128,2022-06-19,95,3
129,2022-07-13,56,3
130,2022-06-23,11,1
131,2022-07-13,25,2
132,2022-06-25,2,1
133,2022-07-05,70,1
134,2022-07-16,18,3
135,2022-06-23,45,2
136,2022-06-29,32,1
137,2022-07-04,38,2
138,2022-06-22,30,2
139,2022-06-23,65,1
140,2022-07-16,15,2
141,2022-06-28,35,2
142,2022-07-14,18,2
143,2022-07-04,58,3
144,2022-07-13,97,2
145,2022-07-06,3,3
146,2022-07-01,32,1
147,2022-07-02,69,1
148,2022-06-30,54,1
149,2022-06-21,20,1
150,2022-06-22,16,1
151,2022-07-10,84,2
152,2022-07-02,9,3
153,2022-06-22,35,1
154,2022-06-23,74,2
155,2022-07-12,18,3
156,2022-06-25,34,2
157,2022-07-11,92,1
158,2022-07-10,41,3
159,2022-07-07,92,3
160,2022-07-11,88,2
161,2022-07-19,80,3
162,2022-07-01,62,3
163,2022-07-03,85,1
164,2022-06-21,39,1
165,2022-07-04,80,1
166,2022-07-11,78,1
167,2022-06-19,34,1
168,2022-06-28,30,3
169,2022-07-04,85,2
170,2022-07-04,36,3
171,2022-07-11,71,1
172,2022-06-26,87,3
173,2022-07-17,1,3
174,2022-07-07,28,3
175,2022-07-08,19,3
176,2022-07-13,22,3
177,2022-07-06,17,2
178,2022-06-29,96,1
179,2022-07-08,10,1
180,2022-06-24,55,1
181,2022-06-26,91,1
182,2022-07-09,46,2
183,2022-07-06,79,1
184,2022-07-15,47,3
185,2022-07-17,94,2
186,2022-07-17,40,1
187,2022-07-04,11,1
188,2022-07-16,90,3
189,2022-07-06,19,3
190,2022-07-06,82,3
191,2022-07-02,8,1
192,2022-07-01,93,3
193,2022-07-17,48,3
194,2022-06-21,21,1
195,2022-06-28,43,3
196,2022-06-28,54,3
197,2022-06-23,74,2
198,2022-06-30,68,1
199,2022-07-05,35,3
200,2022-06-24,32,1
201,2022-07-01,19,3
202,2022-07-10,91,3
203,2022-06-29,52,1
204,2022-06-22,6,2
205,2022-07-17,88,3
206,2022-07-08,29,3
207,2022-07-09,9,1
208,2022-06-30,9,3
209,2022-06-19,54,3
210,2022-07-18,45,2
211,2022-07-04,68,1
212,2022-06-30,65,2
213,2022-07-12,40,2
214,2022-06-28,86,3
215,2022-07-10,78,2
216,2022-06-26,35,1
217,2022-07-08,22,3
218,2022-06-28,26,3
219,2022-07-14,39,2
220,2022-06-22,88,2
221,2022-07-19,49,3
222,2022-07-15,83,1
223,2022-07-11,1,1
224,2022-07-14,40,2
225,2022-07-19,98,3
226,2022-07-17,90,2
227,2022-06-21,81,1
228,2022-07-05,78,1
229,2022-07-11,71,1
230,2022-07-03,49,2
231,2022-07-17,5,3
232,2022-07-05,95,1
233,2022-06-21,45,3
234,2022-06-29,9,1
235,2022-06-25,52,3
236,2022-07-18,15,2
237,2022-06-29,39,1
238,2022-07-06,60,3
239,2022-07-13,76,2
240,2022-06-22,20,3
241,2022-07-09,60,1
242,2022-07-16,31,2
243,2022-07-11,26,3
244,2022-07-11,69,1
245,2022-07-04,59,1
246,2022-07-04,78,1
247,2022-06-21,67,3
248,2022-07-17,79,3
249,2022-06-20,3,2
250,2022-06-26,19,3
251,2022-07-02,2,1
252,2022-07-13,60,3
253,2022-07-17,29,1
254,2022-07-12,82,1
255,2022-06-30,54,3
256,2022-07-07,94,2
257,2022-07-10,74,3
258,2022-06-24,31,1
259,2022-06-30,88,2
260,2022-07-08,54,2
261,2022-06-30,57,2
262,2022-07-07,59,2
263,2022-07-14,58,1
264,2022-06-21,99,3
265,2022-07-13,53,3
266,2022-07-05,21,1
267,2022-06-26,3,2
268,2022-07-12,55,2
269,2022-07-10,74,2
270,2022-06-19,38,2
271,2022-07-05,85,1
272,2022-07-01,4,3
273,2022-06-25,34,2
274,2022-06-22,9,1
275,2022-07-18,37,1
276,2022-07-13,95,1
277,2022-06-23,57,2
278,2022-06-24,22,2
279,2022-07-18,14,2
280,2022-06-21,86,2
281,2022-07-10,35,3
282,2022-06-19,78,3
283,2022-06-28,40,1
284,2022-06-29,97,1
285,2022-07-14,15,1
286,2022-07-15,37,2
287,2022-07-03,43,1
288,2022-06-29,5,1
289,2022-07-16,3,1
290,2022-07-09,100,2
291,2022-06-24,85,2
292,2022-06-24,40,1
293,2022-06-28,67,1
294,2022-06-27,89,2
295,2022-06-21,96,2
296,2022-07-17,41,3
297,2022-07-12,63,1
298,2022-07-06,95,3
299,2022-07-09,13,1
300,2022-07-18,18,2
301,2022-07-01,38,3
302,2022-07-16,35,1
303,2022-06-30,41,1
304,2022-06-22,35,2
305,2022-07-19,90,3
306,2022-06-26,60,1
307,2022-06-19,74,1
308,2022-07-14,4,2
309,2022-06-22,73,1
310,2022-06-20,78,2
311,2022-07-11,93,3
312,2022-06-30,18,3
313,2022-07-04,44,3
314,2022-07-19,55,1
315,2022-07-16,44,3
316,2022-07-03,19,1
317,2022-06-29,61,2
318,2022-07-01,25,1
319,2022-06-23,39,3
320,2022-06-27,39,3
321,2022-06-23,59,2
322,2022-07-06,70,2
323,2022-07-15,47,3
324,2022-07-03,99,2
325,2022-07-13,76,3
326,2022-07-08,99,1
327,2022-07-13,42,3
328,2022-07-15,40,3
329,2022-07-11,74,1
330,2022-06-24,76,2
331,2022-07-18,84,3
332,2022-06-26,48,3
333,2022-07-05,97,3
334,2022-07-12,78,1
335,2022-07-12,46,1
336,2022-06-25,35,3
337,2022-06-26,78,2
338,2022-07-05,66,2
339,2022-07-01,36,1
340,2022-07-19,24,3
341,2022-07-06,69,3
342,2022-06-23,26,1
343,2022-06-26,47,3
344,2022-07-19,66,3
345,2022-06-30,12,1
346,2022-07-03,94,3
347,2022-06-26,9,2
348,2022-06-26,95,1
349,2022-06-19,78,1
350,2022-07-04,68,2
351,2022-07-05,55,1
352,2022-06-19,14,1
353,2022-07-13,54,1
354,2022-07-06,40,3
355,2022-06-22,32,2
356,2022-07-10,26,2
357,2022-07-09,29,1
358,2022-06-30,91,3
359,2022-07-16,75,2
360,2022-06-21,64,2
361,2022-07-02,79,1
362,2022-07-13,31,2
363,2022-06-25,80,1
364,2022-06-21,98,2
365,2022-06-25,15,2
366,2022-07-19,61,2
367,2022-06-24,4,2
368,2022-06-29,16,2
369,2022-06-30,99,3
370,2022-07-10,9,2
371,2022-06-30,34,2
372,2022-07-04,71,2
373,2022-07-12,63,3
374,2022-07-17,97,2
375,2022-06-25,73,1
376,2022-06-26,64,1
377,2022-06-20,87,2
378,2022-06-22,21,1
379,2022-07-04,5,3
380,2022-07-02,10,3
381,2022-06-24,20,2
382,2022-07-15,95,3
383,2022-07-05,44,2
384,2022-07-16,99,3
385,2022-06-21,29,1
386,2022-07-05,2,2
387,2022-06-28,73,2
388,2022-07-18,100,3
389,2022-07-17,21,1
390,2022-06-25,26,1
391,2022-06-22,77,3
392,2022-07-06,100,2
393,2022-06-26,5,2
394,2022-07-13,22,2
395,2022-06-22,8,1
396,2022-06-23,67,2
397,2022-07-19,25,1
398,2022-06-20,57,2
399,2022-06-22,30,2
400,2022-07-08,60,2
401,2022-06-24,31,3
402,2022-07-01,87,2
403,2022-07-13,60,1
404,2022-07-14,92,2
405,2022-07-06,96,3
406,2022-07-10,44,2
407,2022-07-18,80,2
408,2022-07-03,44,3
409,2022-07-06,14,3
410,2022-07-08,52,2
411,2022-07-12,35,1
412,2022-07-09,95,1
413,2022-07-15,20,1
414,2022-07-04,88,3
415,2022-07-15,30,1
416,2022-06-27,84,2
417,2022-06-19,45,1
418,2022-06-20,22,2
419,2022-07-03,12,2
420,2022-07-07,39,3
421,2022-07-15,37,3
422,2022-07-08,70,2
423,2022-07-06,86,3
424,2022-07-06,88,3
425,2022-06-25,67,3
426,2022-07-06,17,1
427,2022-06-30,60,2
428,2022-07-01,25,2
429,2022-07-12,40,3
430,2022-06-27,40,3
431,2022-06-24,16,1
432,2022-07-15,91,1
433,2022-07-05,53,2
434,2022-07-06,97,1
435,2022-07-06,65,2
436,2022-07-06,64,1
437,2022-06-25,24,1
438,2022-06-28,54,1
439,2022-07-02,66,2
440,2022-07-12,83,2
441,2022-07-16,44,2
442,2022-06-20,60,3
443,2022-07-09,85,1
444,2022-07-09,58,3
445,2022-06-20,66,3
446,2022-06-29,57,1
447,2022-07-04,66,3
448,2022-07-07,88,3
449,2022-06-23,17,3
450,2022-07-18,70,2
451,2022-07-07,54,2
452,2022-07-13,34,2
453,2022-07-07,34,3
454,2022-07-17,76,3
455,2022-07-14,89,3
456,2022-07-02,92,3
457,2022-07-04,22,1
458,2022-07-19,18,2
459,2022-06-20,22,1
460,2022-07-15,89,3
461,2022-07-11,32,1
462,2022-07-03,15,1
463,2022-07-05,96,2
464,2022-07-10,17,3
465,2022-07-01,17,2
466,2022-06-28,90,1
467,2022-07-11,39,1
468,2022-07-02,32,1
469,2022-07-14,30,1
470,2022-07-03,55,1
471,2022-06-24,32,3
472,2022-07-09,83,1
473,2022-07-09,35,1
474,2022-07-08,24,1
475,2022-06-28,67,1
476,2022-07-15,42,3
477,2022-06-23,76,2
478,2022-07-04,73,1
479,2022-07-12,28,1
480,2022-07-06,51,1
481,2022-07-07,91,2
482,2022-07-08,11,2
483,2022-06-19,88,3
484,2022-07-09,21,2
485,2022-07-10,13,2
486,2022-07-08,89,2
487,2022-07-03,25,2
488,2022-07-04,72,1
489,2022-06-20,65,1
490,2022-07-08,97,2
491,2022-07-19,1,1
492,2022-06-19,7,3
493,2022-07-19,40,1
494,2022-07-09,43,2
495,2022-06-25,3,2
496,2022-07-01,46,3
497,2022-07-05,1,3
498,2022-07-08,21,3
499,2022-06-29,57,1
500,2022-07-11,72,1
501,2022-07-05,80,1
502,2022-06-26,36,1
503,2022-06-27,12,1
504,2022-06-23,75,1
505,2022-07-15,81,3
506,2022-07-17,69,1
507,2022-07-01,26,3
508,2022-07-16,61,2
509,2022-07-03,76,1
510,2022-06-21,95,2
511,2022-06-25,94,2
512,2022-06-25,85,2
513,2022-06-20,87,1
514,2022-07-14,66,1
515,2022-07-16,74,1
516,2022-07-13,16,2
517,2022-07-03,1,2
518,2022-07-02,80,1
519,2022-07-13,21,3
520,2022-07-07,47,1
521,2022-06-26,61,2
522,2022-07-16,31,3
523,2022-07-14,20,2
524,2022-06-24,73,2
525,2022-07-06,40,1
526,2022-06-29,10,1
527,2022-06-21,56,2
528,2022-06-19,13,2
529,2022-07-13,63,2
530,2022-06-27,92,3
531,2022-07-11,47,2
532,2022-06-28,22,3
533,2022-06-25,68,1
534,2022-07-07,52,2
535,2022-07-05,64,3
536,2022-07-17,21,1
537,2022-07-07,38,3
538,2022-07-08,54,2
539,2022-06-21,74,1
540,2022-06-19,30,1
541,2022-07-08,31,1
542,2022-07-02,68,1
543,2022-06-26,74,1
544,2022-06-28,43,1
545,2022-07-08,8,1
546,2022-07-11,74,2
547,2022-07-15,62,1
548,2022-06-21,11,1
549,2022-06-28,95,1
550,2022-07-17,88,3
551,2022-06-23,27,3
552,2022-07-18,41,3
